preco,condominio,iptu,area,quartos,banheiros,suites,vagas,academia,aceita_animais,acesso_para_deficientes,ar_condicionado,area_de_servico,armario_embutido,armario_na_cozinha,bicicletario,churrasqueira,circuito_de_seguranca,cozinha_americana,elevador,espaco_gourmet,interfone,jardim,lareira,mobiliado,perto_de_shopping,piscina,playground,portao_eletronico,portaria_24h,quadra_poliesportiva,salao_de_festas,salao_de_jogos,seguranca_24h,varanda,latitude,longitude,url
307000.0,240.0,98.0,114.0,2,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1612425,-51.1997877,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-114m2-venda-RS307000-id-2641848414/
221391.0,350.0,589.0,62.0,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-62m2-venda-RS221391-id-2634893760/
215000.0,250.0,295.0,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS215000-id-2551729070/
219000.0,280.0,419.6666666666667,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1600217,-51.1974857,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS219000-id-2643776171/
219000.0,280.0,347.3333333333333,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS219000-id-2626534862/
990000.0,250.0,1200.0,95.33333333333333,3,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.1518913,-51.2038958,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-234m2-venda-RS990000-id-2641845448/
209990.0,360.0,184.66666666666666,50.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-50m2-venda-RS209990-id-2612793875/
219220.0,290.0,112.0,55.0,3,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-55m2-venda-RS219220-id-2629082317/
300000.0,300.0,580.0,58.0,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-3-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-58m2-venda-RS300000-id-2641844048/
215000.0,300.0,400.0,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS215000-id-2551366101/
219000.0,280.0,347.3333333333333,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS219000-id-2626377394/
219000.0,280.0,347.3333333333333,51.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.1627409,-51.1935192,https://www.vivareal.com.br/imovel/apartamento-2-quartos-aberta-dos-morros-bairros-porto-alegre-com-garagem-51m2-venda-RS219000-id-2634829757/
392671.0,522.0,958.0,72.0,3,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.0760656,-51.1315976,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomia-bairros-porto-alegre-com-garagem-72m2-venda-RS392671-id-2506837146/
275000.0,340.0,493.6666666666667,41.0,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agronomia-bairros-porto-alegre-com-garagem-41m2-venda-RS275000-id-2469278285/
378347.0,522.0,1099.0,55.0,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.0760656,-51.1315976,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-55m2-venda-RS378347-id-2511749594/
330000.0,468.0,76.0,56.0,2,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-56m2-venda-RS330000-id-2644469582/
215000.0,280.0,535.0,49.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-30.09059,-51.1325998,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-49m2-venda-RS215000-id-2644584980/
389332.0,522.0,1099.0,55.0,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-30.0760656,-51.1315976,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-55m2-venda-RS389332-id-2512559650/
199000.0,110.0,180.0,49.0,2,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.09059,-51.1325998,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-49m2-venda-RS199000-id-2524399811/
240000.0,300.0,300.0,50.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-30.0692668,-51.1492173,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-50m2-venda-RS240000-id-2644346140/
380000.0,350.0,191.66666666666666,61.0,2,2.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.0692668,-51.1492173,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-61m2-venda-RS380000-id-2551777410/
140000.0,310.0,1.0,45.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.0865321,-51.1220791,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-45m2-venda-RS140000-id-2522811287/
160000.0,350.0,366.0,45.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.0865455,-51.121972,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-45m2-venda-RS160000-id-2640980184/
220000.0,315.0,185.0,49.0,2,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-30.09059,-51.1325998,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-49m2-venda-RS220000-id-2616389307/
160000.0,259.0,748.0,49.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-30.09059,-51.1325998,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-49m2-venda-RS160000-id-2626543746/
240000.0,200.0,700.0,68.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-68m2-venda-RS240000-id-2540607142/
330000.0,400.0,600.0,56.0,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-56m2-venda-RS330000-id-2639797655/
165000.0,319.0,265.0,49.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-30.09059,-51.1325998,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-49m2-venda-RS165000-id-2639333472/
330000.0,400.0,600.0,56.0,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-56m2-venda-RS330000-id-2645417777/
334900.0,350.0,700.0,56.0,2,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-30.065304,-51.1518789,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-56m2-venda-RS334900-id-2591877906/
420000.0,400.0,1120.0,72.0,3,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomia-bairros-porto-alegre-com-garagem-72m2-venda-RS420000-id-2645364314/
490000.0,500.0,980.0,72.0,3,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-3-quartos-agronomia-bairros-porto-alegre-com-garagem-72m2-venda-RS490000-id-2605491887/
162000.0,370.0,215.0,49.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-30.0692668,-51.1492173,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-49m2-venda-RS162000-id-2585811455/
320000.0,339.0,432.0,50.0,1,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-29.9063797,-50.0909266,https://www.vivareal.com.br/imovel/apartamento-1-quartos-agronomia-bairros-porto-alegre-com-garagem-50m2-venda-RS320000-id-2645535027/
400640.0,522.0,1099.0,55.0,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,-30.0760656,-51.1315976,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-55m2-venda-RS400640-id-2514490578/
188400.0,100.0,457.0,45.0,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-30.0763112,-51.1312064,https://www.vivareal.com.br/imovel/apartamento-2-quartos-agronomia-bairros-porto-alegre-com-garagem-45m2-venda-RS188400-id-2635303169/
